what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.7",1405385365510
java.vendor,sysinfo,,,"Oracle Corporation",1405385365510
java.version,sysinfo,,,"1.7.0_51",1405385365510
java.vm.info,sysinfo,,,"mixed mode",1405385365510
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1405385365510
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1405385365510
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1405385365510
java.vm.specification.version,sysinfo,,,"1.7",1405385365510
java.vm.vendor,sysinfo,,,"Oracle Corporation",1405385365510
java.vm.version,sysinfo,,,"24.51-b03",1405385365510
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1405385365514
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1405385365911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405385376891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405385393850
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1405385393897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405385393909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405385403915
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405385413538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405385417861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405394439317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405394440555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404929227
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.index.core",1405404935032
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1405404935112
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.ui",1405404935284
opened,view,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui.views.tasks",1405404935326
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1405404935344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1405404935358
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1405404935359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404942341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404960667
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1405404960680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404971225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405404972671
